的 dí,dì,de
秘 mì,bì
绿 lǜ,lù
骨 gǔ,gū
奔 bēn,bèn
舍 shě,shè
蒙 mēng,méng,měng
熟 shú,shóu
卷 juàn,juǎn
吾 wú,yù
择 zé,zhái
奥 ào,yù
沈 shěn,chén
港 gǎng,jiǎng
厂 chǎng,ān,hàn
趣 qù,cù
岂 qǐ,kǎi
娜 nà,nuó
折 zhē,zhé,shé
载 zǎi,zài
塞 sāi,sài,sè
亡 wáng,wú
降 jiàng,xiáng
盛 shèng,chéng
弹 dàn,tán
番 fān,pān
吓 xià,hè
泽 zé,shì
劲 jìn,jìng
仇 chóu,qiú
洗 xǐ,xiǎn
挑 tiāo,tiǎo
括 kuò,guā
混 hùn,hún
乘 chéng,shèng
横 héng,hèng
侯 hóu,hòu
鲜 xiān,xiǎn
纵 zòng,zǒng
糊 hū,hú,hù
邪 xié,yá,yé,yú,xú
臂 bì,bei
勒 lè,lēi
累 léi,lěi,lèi
冒 mào,mò
抢 qiāng,qiǎng,chēng
迫 pò,pǎi
悄 qiǎo,qiāo
尺 chǐ,chě
侧 cè,zè,zhāi
缩 suō,sù
票 piào,piāo
瓦 wǎ,wà
稍 shāo,shào
核 hé,hú
净 jìng,chēng
枝 zhī,qí
凉 liáng,liàng
仆 pū,pú
贾 gǔ,jiǎ
薄 báo,bó,bò
扫 sǎo,sào
召 zhào,shào
予 yú,yǔ
扎 zā,zhā,zhá
吐 tǔ,tù
仰 yǎng,áng
哼 hēng,hng
椅 yǐ,yī
频 pín,bīn
铺 pū,pù
圈 quān,juàn,juān
嘛 má,ma
丧 sāng,sàng
汤 tāng,shāng
呵 hē,a,kē
汗 hàn,hán
旋 xuán,xuàn
闷 mèn,mēn
尾 wěi,yǐ
羊 yáng,xiáng
拾 shí,shè
冠 guān,guàn
宿 sù,xiǔ,xiù
艾 ài,yì
详 xiáng,yáng
埋 mái,mán
俩 liǎng,liǎ
颤 chàn,zhàn
耶 yé,yē
磨 mó,mò
肚 dù,dǔ
繁 fán,pó
哦 ó,ò,é
漂 piāo,piǎo,piào
蛇 shé,yí
筑 zhù,zhú
泥 ní,nì
摩 mó,mā
堡 bǎo,bǔ,pù
仔 zī,zǐ,zǎi
丁 dīng,zhēng
综 zōng,zèng
夹 jiā,jiá,gā
菲 fēi,fěi
哩 li,lǐ,lī
扇 shàn,shān
钢 gāng,gàng
溜 liū,liù
涌 yǒng,chōng
挣 zhèng,zhēng
勾 gōu,gòu
裂 liè,liě
晃 huǎng,huàng
莎 suō,shā
柏 bǎi,bó,bò
抹 mǒ,mò,mā
卜 bǔ,bo
葛 gé,gě
撒 sā,sǎ
屏 píng,bǐng
尉 wèi,yù
冯 féng,píng
摄 shè,niè
挡 dǎng,dàng
浅 qiǎn,jiān
殷 yīn,yān,yǐn
唉 āi,ài
勃 bó,bèi
估 gū,gù
钻 zuān,zuàn
趋 qū,cù
拓 tuò,tà,zhí
倘 tǎng,cháng
猫 māo,máo
嚷 rǎng,rāng
胖 pàng,pán,pàn
祭 jì,zhài
炸 zhà,zhá
炮 páo,bāo,pào
柜 guì,jǔ
挨 āi,ái
吵 chǎo,chāo
脉 mài,mò
缝 féng,fèng
笼 lóng,lǒng
嘿 hēi,mò
嗯 ǹg,ńg,ňg,ǹ,ń,ň
叉 chā,chá,chǎ
膀 bǎng,páng
臭 chòu,xiù
纤 xiān,qiàn
洒 sǎ,xǐ
愉 yú,tōu
弥 mí,mǐ
咽 yān,yàn,yè
敦 dūn,duì
颈 jǐng,gěng
泄 xiè,yì
揭 jiē,qì
喷 pēn,pèn
乾 qián,gān
纹 wén,wèn
卒 zú,cù
劈 pī,pǐ
禅 chán,shàn
瞒 mán,mén
煞 shā,shà
岭 lǐng,líng
夸 kuā,kuà
刹 chà,shā
拆 chāi,cā
彭 péng,bāng
妃 fēi,pèi
嘲 cháo,zhāo
哑 yǎ,yā
裳 cháng,shang
宛 wǎn,yuān
刷 shuā,shuà
衰 shuāi,cuī
晕 yùn,yūn
削 xiāo,xuē
棍 gùn,hùn
拂 fú,bì
哄 hōng,hǒng,hòng
钉 dīng,dìng
朴 pǔ,pò,pō,piáo
吁 xū,yù
兹 zī,cí
暴 bào,pù
搂 lǒu,lōu
巷 xiàng,hàng
契 qì,qiè,xiè
填 tián,zhèn
囊 náng,nāng
咳 ké,hāi
咖 kā,gā
钥 yuè,yào
搁 gē,gé
俞 yú,yù,shù
趟 tàng,tāng
爪 zhǎo,zhuǎ
涨 zhǎng,zhàng
辟 bì,pì
疆 jiāng,qiáng
畜 xù,chù
泊 bó,pō
拘 jū,gōu
哇 wā,wa
肖 xiāo,xiào
症 zhèng,zhēng
泡 pào,pāo
杆 gān,gǎn
伺 sì,cì
麽 mó,me,ma
雀 què,qiāo,qiǎo
腊 là,xī
稽 jī,qǐ
澄 chéng,dèng
淋 lín,lìn
帖 tiè,tiě,tiē
嵌 qiàn,kàn
坊 fāng,fáng
剥 bāo,bō
哟 yō,yo
券 quàn,xuàn
俏 qiào,xiào
骚 sāo,sǎo
榜 bǎng,bàng
拚 pàn,pīn,fān
姥 mǔ,lǎo
於 yú,wū
撇 piē,piě
匙 chí,shi
龟 guī,jūn,qiū
胳 gē,gé
硕 shuò,shí
渠 qú,jù
倡 chàng,chāng
苹 píng,pēng
殖 zhí,shi
喔 ō,wō
佣 yōng,yòng
藉 jiè,jí
荫 yīn,yìn
碌 lù,liù
壳 ké,qiào
堕 duò,huī
哗 huá,huā
咧 liě,liē,lié,lie
厦 shà,xià
阙 quē,què
斐 fěi,fēi
挟 xié,jiā
扁 biǎn,piān
呐 nà,nè
亨 hēng,pēng
熬 āo,áo
幢 chuáng,zhuàng
逮 dài,dǎi
绰 chuò,chāo
簿 bù,bó
眯 mī,mí
梢 shāo,sào
叨 tāo,dāo
轴 zhóu,zhòu
褚 zhǔ,chǔ
缴 jiǎo,zhuó
粘 nián,zhān
溃 kuì,huì
淳 chún,zhūn
彷 páng,fǎng
绷 bēng,běng,bèng
浆 jiāng,jiàng
栖 qī,xī
嚼 jiáo,jué,jiào
咯 kǎ,luò,lo,gē
呕 ǒu,ōu,òu
觑 qù,qū
膏 gāo,gào
缪 móu,miù,miào,mù,liáo
筠 yún,jūn
牟 móu,mù
熏 xūn,xùn
溅 jiàn,jiān
撩 liāo,liáo
屯 tún,zhūn
喽 lóu,lou
唬 hǔ,xià
粥 zhōu,yù
溺 nì,niào
栅 zhà,shān,shi,cè
揣 chuǎi,chuài,chuāi,tuán,zhuī
扛 káng,gāng
嘘 xū,shī
唔 wù,wú,ńg,ń
吱 zhī,zī
兑 duì,ruì,yuè
豁 huō,huò,huá
芯 xīn,xìn
竺 zhú,dǔ
尿 niào,suī
媛 yuàn,yuán
鞘 qiào,shāo
隋 suí,duò
铅 qiān,yán
踉 liáng,liàng
跄 qiāng,qiàng
蔓 màn,wàn
苔 tái,tāi
翘 qiáo,qiào
缉 jī,qī
矫 jiǎo,jiáo
甸 diàn,tián,shèng
沮 jǔ,jù
拧 níng,nǐng,nìng
嘎 gā,gá,gǎ
凹 āo,wā
虾 xiā,hā
琢 zhuó,zuó
浚 jùn,xùn
恁 nèn,nín
姗 shān,shàn
俟 sì,qí
褪 tuì,tùn
菌 jūn,jùn
砌 qì,qiè
淌 tǎng,chǎng
槛 jiàn,kǎn
攒 zǎn,cuán
擂 léi,lèi
忒 tè,tuī
嗳 ǎi,ài,āi
吭 háng,kēng
吒 zhà,zhā
倔 jué,juè
苛 kē,hē
肋 lèi,lē
矜 jīn,qín,guān
瞿 qú,jù
皋 gāo,háo
瀑 pù,bào
氓 méng,máng
棱 léng,lēng,líng
杠 gàng,gāng
杉 shān,shā
撮 cuō,zuǒ
拽 zhuài,zhuāi,yè
拗 ǎo,ào,niù
扒 bā,pá
奄 yǎn,yān
囗 wéi,guó
嗨 hāi,hēi
喳 zhā,chā
啜 chuò,chuài
呛 qiāng,qiàng
伽 qié,jiā,gā
隽 jùn,juàn
诘 jié,jí
蟒 mǎng,měng
蚂 mǎ,mā,mà
翟 dí,zhái
烙 lào,luò
涡 wō,guō
楷 kǎi,jiē
捻 niǎn,niē
抡 lūn,lún
惮 dàn,dá
崭 zhǎn,chán
喏 nuò,rě
啰 luō,luó,luo
唠 lào,láo
侥 jiǎo,yáo
辗 zhǎn,niǎn
蛾 é,yǐ
莞 guān,guǎn,wǎn
疙 gē,yì
渎 dú,dòu
泌 mì,bì
棣 dì,dài,tì
桔 jié,jú
拌 bàn,pàn
峙 zhì,shì
埔 pǔ,bù
啐 cuì,qi
呱 guā,gū,guǎ
剿 jiǎo,chāo
剌 là,lá
僮 tóng,zhuàng
亟 jí,qì
靓 jìng,liàng
蹊 qī,xī
臧 zāng,zàng,cáng
臊 sāo,sào
簸 bò,bǒ
磅 bàng,páng
瘪 biē,biě
瘩 dá,da
槟 bīn,bīng
椎 zhuī,chuí
掺 chān,xiān,càn,shǎn
捎 shāo,shào
嫖 piáo,piāo
咋 zǎ,zé,zhā
咀 jǔ,zuǐ
伎 jì,qí
铛 dāng,chēng
袊 lǐng,líng
蛤 gé,há
芥 jiè,gài
缥 piǎo,piāo
纶 lún,guān
糜 mí,méi
燎 liáo,liǎo
潦 lǎo,lào,liáo
沓 tà,dá
汶 wèn,mén
桧 guì,huì
曝 pù,bào
掖 yè,yē
峒 tóng,dòng
宓 mì,fú
姣 jiāo,xiáo
嚓 cā,chā
嗒 tà,dā
喋 dié,zhá
倭 wō,wēi
颉 jié,xié,jiá
韫 yùn,wēn
镐 gǎo,hào
钿 diàn,tián
迤 yǐ,yí
贲 bì,bēn
覃 tán,qín
蟆 má,mò
蚣 gōng,zhōng
蚌 bàng,bèng
腌 ā,yān
耆 qí,shì
繇 yáo,yóu,zhòu
窕 tiǎo,yáo
禺 yú,yù,ǒu
碴 chá,chā
熨 yùn,yù
濯 zhuó,zhào
澹 dàn,tán
浒 hǔ,xǔ
汩 gǔ,yù
棹 zhào,zhuō
撅 juē,jué
掸 dǎn,shàn
捋 luō,lǚ
挝 zhuā,wō
徵 zhǐ,zhēng
坷 kē,kě
吶 nà,nè
匮 kuì,guì
刨 páo,bào
傀 kuǐ,guī
佚 yì,dié
佃 diàn,tián
骠 piào,biāo
陂 bēi,pí,pō
钯 bǎ,pá
酊 dīng,dǐng
蹶 jué,juě
裨 bì,pí
螫 shì,zhē
莘 shēn,xīn
耙 bà,pá
睢 huī,suī
疟 nüè,yào
町 tǐng,dīng
甯 níng,nìng
玟 mín,wén
潢 huáng,guāng
湮 yān,yīn
泷 lóng,shuāng
晟 shèng,chéng
斡 wò,guǎn
擞 sòu,sǒu
挲 suō,shā
幷 bìng,bīng
峤 jiào,qiáo
垛 duǒ,duò
圜 huán,yuán
嗄 shà,á
咭 jī,xī,qià
呗 bei,bài
偻 lǚ,lóu
偈 jì,jié
侗 dòng,tóng,tǒng
龈 yín,kěn
鹘 gǔ,hú
鲑 guī,xié
鬲 gé,lì
颌 hé,gé
鞅 yāng,yàng
隳 huī,duò
隗 wěi,kuí
铤 tǐng,dìng
铣 xiǎn,xǐ
钲 zhēng,zhèng
郦 lì,zhí
郄 qiè,xì
趄 qiè,jū
貉 hé,háo,mò
谌 chén,shèn
诒 yí,dài
褔 fù,fú
虺 huǐ,huī
蓼 liǎo,lù
菟 tù,tú
菑 zī,zì,zāi
莩 fú,piǎo
荥 xíng,yíng
荠 jì,qí
荑 yí,tí
苴 jū,chá
苫 shān,shàn
苕 tiáo,sháo
膻 shān,dàn
缯 zēng,zèng
纰 pī,pí,bǐ
纥 hé,gē
綄 huán,huàn,wàn
磻 pán,bō
碣 jié,yà
砉 xū,huā
矞 yù,xù,jué
睥 bì,pì
疋 pǐ,yǎ,shū
畤 zhì,chóu,shì
玢 bīn,fēn
猗 yī,yǐ
焯 zhuō,chāo
烊 yáng,yàng
湫 qiū,jiǎo
渑 miǎn,shéng
淖 nào,chuò,zhuō
沤 òu,ōu
歙 xī,shè
楂 zhā,chá
桡 ráo,náo
桁 héng,háng
栎 lì,yuè
柢 dǐ,chí
柚 yòu,yóu
枞 cōng,zōng
杓 sháo,biāo
杈 chā,chà
旄 máo,mào
擘 bò,bāi
挎 kuà,kū
拶 zā,zǎn
拮 jié,jiá
戆 gàng,zhuàng
慊 qiàn,qiè
怍 zuò,zhà
忾 kài,xì
忪 sōng,zhōng
徼 jiǎo,jiào
徕 lài,lái
帑 tǎng,nú
崴 wǎi,wēi
孱 chán,càn
嬛 huán,xuān,qióng
婠 wān,wà
娆 ráo,rǎo
妳 nǐ,nǎi
奘 zàng,zhuǎng
夯 hāng,bèn
埽 sào,sǎo
埶 yì,shì
垸 yuàn,huán
圻 qí,yín
圩 wéi,xū
囤 dùn,tún
囝 jiǎn,nān
噱 jué,xué
嗑 kē,kè
啁 zhōu,zhāo,tiào
哏 gén,hěn
吋 dòu,cùn
剡 yǎn,shàn
儋 dān,dàn
傕 què,jué
佝 gōu,kòu
伧 cāng,chen
仡 yì,gē
亶 dǎn,dàn
乜 miē,niè
龜 guī,jūn,qiū
龓 lóng,lǒng
龏 gōng,wò
龍 lóng,lǒng
龂 yín,kěn
齊 qí,zhāi
黾 mǐn,miǎn,měng
黽 mǐn,miǎn,měng
黵 dǎn,zhǎn
黰 zhěn,yān
黮 dàn,shèn
麼 mó,me
麗 lí,lì
麇 jūn,qún
麆 zhù,cū
麃 páo,biāo
鷜 lóu,lǚ
鶽 sǔn,xùn
鶻 gǔ,hú
鶮 hè,hú
鶬 cāng,qiāng
鶨 chuàn,zhì
鶣 piān,biǎn
鶡 hé,jiè
鶝 fú,bì
鶙 tí,chí
鶗 tí,chí
鳽 jiān,qiān,zhān
鳻 bān,fén
鳺 fū,guī
鳱 gān,hàn,yàn
鳭 diāo,zhāo
鳥 niǎo,diǎo
鳣 zhān,shàn
鳜 guì,jué
鳃 sāi,xǐ
鲌 bó,bà
鲊 zhǎ,zhà
鲄 hé,gě
鲃 bā,bà
鰓 sāi,xǐ
鯣 yì,sī
鯆 pū,bū
鮮 xiān,xiǎn
鮭 guī,xié
鮥 luò,gé
鮘 chou,dài
鮓 zhǎ,zhà
鮊 bó,bà
鮆 cǐ,jì
魞 bā,bà
髺 kuò,yuè
髳 máo,méng
髲 bì,pǒ
體 tǐ,tī
髉 bó,jué
骹 qiāo,xiāo
骳 bèi,mó
駺 liáng,láng
駨 xún,xuān
駘 tái,dài
駄 tuó,duò
駃 jué,kuài
馾 dǎn,dàn
馸 xìn,jìn
馶 zhī,shì
馲 tuō,zhé
馱 tuó,duò
馯 hàn,hán
馮 féng,píng
馧 yūn,wò
馕 náng,nǎng
馏 liù,liú
饹 gē,le
饟 xiǎng,náng
飵 zuò,zé,zhā
飴 yí,sì
飳 zhù,tǒu
飲 yǐn,yìn
飮 yǐn,yìn
飬 yǎng,juàn
飂 liù,liáo
颾 sāo,sōu
颰 bá,fú
颩 biāo,diū
風 fēng,fěng
韘 shè,xiè
韎 mèi,wà
鞸 bì,bǐng
鞰 wēn,yùn
鞬 jiàn,jiān
鞪 mù,móu
鞢 xiè,dié
鞞 bǐng,pí,bì,bēi
鞝 shàng,zhǎng
鞙 xuān,juān
鞕 biān,yìng
鞔 mán,mèn
鞊 jié,jí
鞈 gé,tà,sǎ
雽 hū,hù
雺 wù,méng
雭 sè,xí
難 nán,nàn,nuó
雟 guī,xī
雚 guàn,huán
雋 jùn,juàn
隺 hú,hè
隹 zhuī,cuī,wéi
隱 yǐn,yìn
隩 ào,yù
隠 yǐn,yìn
隓 huī,duò
隑 qí,gāi,ái
隊 duì,zhuì
隃 yú,yáo,shù
隁 yàn,yǎn
阇 dū,shé
闶 kàng,kāng
闬 hàn,bì
闣 dāng,dàng
闟 xì,sè,tà
闞 kàn,hǎn
闛 táng,tāng,chāng
闕 què,quē
闍 dū,shé
闆 bǎn,pàn
闂 hòng,juǎn,xiàng
閼 è,yān
閮 tíng,tǐng
閪 sē,xī
閧 hòng,xiàng
閤 hé,gé
閞 biàn,guān
閜 xiǎ,kě
閛 pēng,pèng
閕 xiā,xiǎ
間 jiān,jiàn
閒 xián,jiān,jiàn
閌 kāng,kàng
閈 hàn,bì
閄 huò,shǎn
長 cháng,zhǎng
镉 gé,lì
铴 tàng,tāng
铫 diào,tiáo,yáo
铪 hā,kē
铦 xiān,kuò,tiǎn,guā
铔 yā,yà
铍 pí,pī
铊 tā,tuó
铇 bào,páo
钑 sà,xì
钐 shān,shàn
钌 liǎo,liào
鐺 dāng,chēng
鏾 sǎn,xiàn,sà
鏹 qiǎng,qiāng
鏸 huì,suì,ruì
鏩 jiàn,zàn
鏜 tāng,táng
鏕 lù,áo
鏒 sǎn,qiāo,càn
鏑 dí,dī
鏉 shòu,sōu
鏅 xiū,xiù
鏃 zú,chuò
鎬 gǎo,hào
鎫 wàn,jiǎn
鎦 liú,liù
鎞 bī,bì,pī
鎘 gé,lì
鎗 qiāng,chēng
鎑 yè,tà,gé
鎐 yáo,zú
鎍 suǒ,sè
鎉 dā,tà
鎈 cuō,chā
鋼 gāng,gàng
鋻 jiān,jiàn
鋺 yuǎn,yuān,wǎn,wān
鋸 jù,jū
鋷 zuì,niè
鋪 pū,pù
鋦 jū,jú
鋞 xíng,xìng,jīng
鋜 zhuó,chuò
鋘 huá,wú,wū
鋗 xuān,juān,juàn
鋖 sī,tuó
鋑 juān,jiān,cuān
鋌 tǐng,dìng
鋄 wàn,jiǎn
鋂 méi,méng
鋀 tōu,tù,dòu
銿 zhōng,yōng
銾 hòng,gǒng
銽 xiān,kuò,tiǎn,guā
銸 zhé,niè
銴 shì,zhì
銛 xiān,kuò,tiǎn,guā
銚 diào,tiáo,yáo
銗 hóu,xiàng
銑 xiǎn,xǐ
銐 chì,lì
銏 shàn,shuò
銋 rén,rěn
銊 xù,huì
銉 yù,sì
銄 xiǎng,jiōng
鉿 hā,kē
鉼 bǐng,píng
鉋 bào,páo
鉈 tā,tuó
釾 yé,yá
釽 pī,zhāo
釼 rì,rèn,jiàn
釶 shī,yí
釱 dì,dài
釰 rì,rèn,jiàn
釫 huá,wū
釪 huá,yú
釥 qiǎo,jiǎo
釤 shān,shàn
釘 dīng,dìng
釕 liǎo,liào
釐 lí,xǐ,xī
釀 niàng,niáng
醶 yàn,liǎn,xiān
醳 yì,shì
醱 pō,fā
醦 chǎn,chěn
醗 pō,fā
醔 qiú,chōu
醍 tí,tǐ
醈 tán,dàn
酇 cuó,zàn
酂 cuó,zàn
郩 xiáo,ǎo
郇 xún,huán
郂 gāi,hái
邟 kàng,háng
邌 lí,chí
還 huán,hái
遆 dì,tí
迱 yǐ,yí
迬 zhù,wǎng
迣 zhì,lì
迋 wàng,kuāng
迆 yǐ,yí
辺 dào,biān
軼 yì,dié
軻 kē,kě
軸 zhóu,zhòu
軪 āo,ào
転 zhuàn,zhuǎn
軓 fàn,guǐ
軐 xìn,xiàn
軋 yà,zhá,gá
車 chē,jū
躠 sǎ,xiè
躘 lóng,lǒng
躒 lì,luò
跾 shū,chōu
跰 pián,bèng
跢 dài,duò,duō,chí
跞 lì,luò
跙 jū,jù,qiè
跘 pán,bàn
跕 diǎn,tiē,dié
跐 cī,cǐ
跈 jiàn,chén
跂 qí,qǐ
跁 bà,páo
趽 fāng,fàng,páng
趹 jué,guì
趶 kuà,wù
趵 bào,bō
趯 tì,yuè
趨 qū,cù
趠 chuō,zhuó
趞 què,qì,jí
趏 guā,huó
趌 jí,jié
趃 dié,tú
贠 yuán,yùn
贃 wàn,zhuàn
賺 zhuàn,zuàn
賯 xiōng,mín
賈 jiǎ,gǔ,jià
賁 bì,bēn
責 zé,zhài
貤 yì,yí
貟 yuán,yún,yùn
貗 jù,lóu
貓 māo,máo
貒 tuān,tuàn
貈 hé,mò
貇 kěn,kūn
貆 huán,huān
豣 jiān,yàn
豈 qǐ,kǎi
诶 ēi,éi,ěi,èi,xī
诪 zhōu,chóu
讉 yí,tuī
讂 juàn,xuān
諵 nán,nàn
諰 xǐ,shāi,āi
諣 huà,guā
諟 shì,dì
論 lùn,lún
諕 xià,háo
諔 chù,jí
諎 zé,zuò,zhǎ,cuò
諅 jì,jī
諀 pǐ,bēi
調 diào,tiáo
誽 nì,ná
誺 chī,lài
誳 qū,juè
誰 shuí,shéi
説 shuō,shuì,yuè
說 shuō,shuì,yuè
語 yǔ,yù
誖 bèi,bó
誒 ēi,éi,ěi,èi,xī
誏 lǎng,làng
誇 kuā,kuà
誃 yí,chǐ,chì
誂 tiǎo,diào
詒 yí,dài
觻 lì,lù
觷 xué,hù
觭 jī,qí
觧 jiě,jiè,xiè
觟 huà,xiè
觜 zī,zuǐ
觀 guān,guàn
覻 qù,qū
覺 jué,jiào
覷 qù,qū
覶 luó,luǎn
覵 jiàn,biǎn
観 guān,guàn
覱 zhàn,zhān
覰 qū,qù
覮 yíng,yǐng
親 qīn,qìng
覚 jué,jiào
覕 piē,miè
覐 jué,jiào
覌 guān,guàn
見 jiàn,xiàn
裼 xī,tì
裺 yǎn,ān
裷 yuān,gǔn
裯 chóu,dāo
裓 gé,jiē
裎 chéng,chěng
袿 guī,guà
袹 bó,mò
袸 jiàn,zùn
袷 jiá,jié,qiā
袳 chǐ,qǐ,duǒ,nuǒ
袲 chǐ,nuǒ
袦 nà,jué
袘 yí,yì
袔 hè,kè
袓 jù,jiē
袌 bào,páo,pào
袉 tuó,tuō
蟫 yín,xún
蟧 láo,liáo
蟦 fèi,bēn
蟞 biē,bié
螹 chán,jiàn
螶 qú,jù
螲 dié,zhì
螞 mǎ,mā,mà
螝 guì,huǐ
螛 hé,xiá
螚 nài,něng
螕 bī,pí
螇 xī,qī
蝦 xiā,hā
蛪 qiè,ní
蛡 yì,xǔ
蛖 máng,bàng
蛒 gé,luò
蚾 pí,bǒ
蚼 gǒu,qú,xù
蚮 dài,dé
蚥 fù,fǔ
蚙 qín,qián
蚗 jué,quē
蚖 yuán,wán
蚔 qí,zhǐ
蚄 fāng,bàng
號 hào,háo
蘋 pín,píng
藸 zhū,chú
藱 huì,huí
藰 liú,liǔ
藨 biāo,pāo
藋 diào,zhuó
藇 xù,yù,xū
藃 xiāo,hào
薺 jì,qí
薶 mái,wō
薵 chóu,zhòu
薳 yuǎn,wěi
薧 hāo,kǎo
薟 xiān,liǎn
薔 qiáng,sè
薍 wàn,luàn
薋 cí,zī
薂 xí,xiào
蕁 qián,xún
蓻 zí,jú
蓲 qiū,xū,fū
蓧 diào,tiáo,dí
蓔 yǎo,zhuó
蓋 gài,gě,hé
蓃 sōu,sǒu
蒵 xí,xì
蒩 zū,jù
蒣 xú,shú
蒝 yuán,huán
蒘 rú,ná
蒔 shì,shí
蒉 kuì,kuài
菾 tián,tiàn
菻 lǐn,má
菳 qín,qīn,jīn
華 huá,huà,huā
菭 tái,zhī,chí
菬 qiáo,zhǎo
